Sample ID	number	date	year	col_area	colony	valley_position	curid	uid	rs	massjun	massaug	mg	log_mg	mgr	rg	log_rg	nb_mass	age_class	Firmicutes	Bacteroidetes
UDP0001	1	5-Jun-19	2019	gothictown	gothictown	DV	7851_7303	7310_7303	lac	2287.971887	3354.171291	1066.199404	3.027838435	14.21599205	1.466001969	0.166134554	9	A	7.948385261	8.946078622
UDP0002	2	9-Jun-19	2019	gothictown	gothictown	DV	7269_7497	7269_7497	lac	2457.176398	3857.179816	1400.003418	3.146129096	18.66671224	1.569761055	0.19583355	9	A	8.239453091	7.942069469
UDP0003	3	12-Jun-19	2019	bench	bench	DV	8284_8386	8342_8329	lac	2090.699584	2902.045619	811.346035	2.909206118	10.81794713	1.388073945	0.142412602	7	A	7.315658138	7.181880553
UDP0009	9	25-Jun-19	2019	gothictown	gothictown	DV	6612_6640	6612_6640	preglac	2659.595691	3671.267684	1011.671993	3.005039727	13.48895991	1.380385634	0.140000431	4	A	8.02714382	7.930854856
UDP0010	10	27-Jun-19	2019	bench	bench	DV	8496_8499	8496_8499	lac	2103.421191	3416.714457	1313.293266	3.118361717	17.51057688	1.624360576	0.21068244	4	A	9.0246802	7.854347077
UDP0011	11	27-Jun-19	2019	rvannex	river	DV	7390_7391	7390_7391	preg	2398.948297	3182.007749	783.059452	2.893794736	10.44079269	1.326417811	0.122680345	7	A	7.817600036	6.645231699
UDP0012	14	2-Jul-19	2019	picnic	picnic	UV	6127_8186	6127_7339	preg	2682.717067	4126.468164	1443.751097	3.159492327	19.25001463	1.538167485	0.187003627	5	A	8.219457514	7.138364148
UDP0014	15	11-Jul-19	2019	rvannex	river	DV	7467_7353	7467_7353	no	2438.344894	3501.9685	1063.623606	3.026787967	14.18164808	1.436207203	0.1572171	6	A	7.861602515	7.641884787
UDP0015	19	23-Jul-19	2019	river_rivermound	river	DV	7191_7646	6687_6677	lac	2699.889714	4029.646287	1329.756573	3.123772146	17.73008764	1.492522552	0.173920902	3	A	7.754058043	7.38492453
UDP0019	20	23-Jul-19	2019	bench	bench	DV	8340_8334	8340_8334	lac	1998.527245	3328.064834	1329.537589	3.12370062	17.72716785	1.665258676	0.221481705	3	A	8.013139656	7.906415171
UDP0020	21	26-Jul-19	2019	rvannex	river	DV	7467_7353	7467_7353	no	2438.344894	3501.9685	1063.623606	3.026787967	14.18164808	1.436207203	0.1572171	6	A	7.646587247	8.302922489
UDP0021	23	5-Aug-19	2019	gothictown	gothictown	DV	6612_6640	6612_6640	preglac	2659.595691	3671.267684	1011.671993	3.005039727	13.48895991	1.380385634	0.140000431	4	A	9.1121826	7.7303081
UDP0023	24	11-Aug-19	2019	gothictown	gothictown	DV	7269_7497	7269_7497	lac	2457.176398	3857.179816	1400.003418	3.146129096	18.66671224	1.569761055	0.19583355	9	A	7.932552848	7.534924798
UDP0024	25	12-Aug-19	2019	bench	bench	DV	8496_8499	8496_8499	lac	2103.421191	3416.714457	1313.293266	3.118361717	17.51057688	1.624360576	0.21068244	4	A	8.144344538	8.30300471
UDP0025	26	14-Aug-19	2019	picnic	picnic	UV	6127_8186	6127_7339	preg	2682.717067	4126.468164	1443.751097	3.159492327	19.25001463	1.538167485	0.187003627	5	A	7.038226945	6.228024787
UDP0026	27	14-Aug-19	2019	mm	mm	UV	7733_7734	7733_7734	preg	2020.216935	3296.617422	1276.400487	3.105986961	17.01867316	1.631813576	0.212670542	2	A	7.576822152	6.462808361
UDP0027	30	19-Aug-19	2019	gothictown	gothictown	DV	7851_7303	7310_7303	lac	2287.971887	3354.171291	1066.199404	3.027838435	14.21599205	1.466001969	0.166134554	9	A	7.715888374	6.988127147
UDP0030	31	20-Aug-19	2019	river_rivermound	river	DV	8340_8334	8340_8334	lac	1998.527245	3328.064834	1329.537589	3.12370062	17.72716785	1.665258676	0.221481705	3	A	7.803268091	6.981230259
UDP0031	32	21-Aug-19	2019	river_rivermound	river	DV	7191_7646	6687_6677	lac	2699.889714	4029.646287	1329.756573	3.123772146	17.73008764	1.492522552	0.173920902	3	A	8.026299659	7.243953312
UDP0034	34	27-Aug-19	2019	rvannex	river	DV	7390_7391	7390_7391	preg	2398.948297	3182.007749	783.059452	2.893794736	10.44079269	1.326417811	0.122680345	7	A	7.358198461	6.782437738
UDP0035	35	1-Sep-19	2019	bench	bench	DV	8284_8386	8342_8329	lac	2090.699584	2902.045619	811.346035	2.909206118	10.81794713	1.388073945	0.142412602	7	A	7.06129112	5.955334217
UDP0081	81	9-Jul-15	2015	picnic	picnic	UV	7131_7126	7131_7126	wean	2336.753695	2971.66687	634.913175	2.802714339	8.465509	1.271707359	0.104387184	8	A	7.859184814	8.755944728
UDP0083	83	23-Jul-15	2015	picnic	picnic	UV	7131_7126	7131_7126	wean	2336.753695	2971.66687	634.913175	2.802714339	8.465509	1.271707359	0.104387184	8	A	7.75854539	7.477806972
UDP0088	88	22-Jun-15	2015	picnic	picnic	UV	6127_7339	6127_7339	wean	2750.448455	3539.184582	788.736127	2.896931734	10.51648169	1.286766373	0.109499703	8	A	7.93566481	7.178840222
UDP0090	90	9-Jul-15	2015	picnic	picnic	UV	6127_7339	6127_7339	wean	2750.448455	3539.184582	788.736127	2.896931734	10.51648169	1.286766373	0.109499703	8	A	8.233394957	7.509971841
UDP0103	103	10-Jun-16	2016	gothictown	gothictown	DV	8005_8009	8005_8009	lac	2845.620552	3272.735857	427.115305	2.630545134	5.694870733	1.150095664	0.060733966	2	A	7.634712429	6.839563106
UDP0115	115	26-Jun-16	2016	mm	mm	UV	7733_7734	7733_7734	no	742.457198	2320.50875	1578.051552	3.198121187	21.04068736	3.125444478	0.494911788	5	Y	7.460936822	6.163454452
UDP0118	118	7-Jun-16	2016	rvannex	river	DV	7390_7391	7390_7391	no	951.9667436	2447.709776	1495.743032	3.174856988	19.94324043	2.571213535	0.410138146	7	Y	7.275992664	6.204838692
